action_resource_type_id,action_id,resource_type_id,required_flag,dependent_actions
16071,11094,1163,true,[]
16072,11095,1163,true,[]
16073,11096,2182,false,[]
16074,11097,1163,true,[]
16075,11098,1162,true,[]
16076,11099,1162,false,[]
16077,11099,1163,false,[]
16078,11100,1162,true,[]
16079,11101,1162,true,[iam:PassRole]
16080,11101,2182,false,[]
16081,11102,1162,true,[]
16082,11103,1162,false,[]
16083,11103,1163,false,[]
16084,11103,2182,false,[]
16085,11104,1162,false,[]
16086,11104,1163,false,[]
16087,11104,2182,false,[]
16088,11105,1162,true,[]
16089,11106,1165,true,[]
16090,11107,1853,false,[]
16091,11108,1164,true,[]
16092,11108,1853,false,[]
16093,11109,1853,false,[]
16094,11110,1853,false,[]
16095,11111,1166,true,[]
16096,11112,1167,true,[]
16097,11113,1164,true,[]
16098,11114,1165,true,[]
16099,11115,1166,true,[]
16100,11116,1167,true,[]
16101,11117,1168,true,[]
16102,11118,1164,true,[]
16103,11119,1167,true,[]
16104,11120,1164,true,[]
16105,11121,1853,false,[]
16106,11122,1164,true,[]
16107,11123,1853,false,[]
16108,11124,1165,false,[]
16109,11124,1166,false,[]
16110,11124,1167,false,[]
16111,11124,1164,false,[]
16112,11125,1853,false,[]
16113,11126,1164,true,[]
16114,11126,1853,false,[]
16115,11127,1165,false,[]
16116,11127,1166,false,[]
16117,11127,1167,false,[]
16118,11127,1164,false,[]
16119,11127,1853,false,[]
16120,11128,1165,false,[]
16121,11128,1166,false,[]
16122,11128,1167,false,[]
16123,11128,1164,false,[]
16124,11128,1853,false,[]
16125,11129,1173,false,[]
16126,11129,1174,false,[]
16127,11129,1170,false,[]
16128,11129,1179,false,[]
16129,11129,1180,false,[]
16130,11129,1175,false,[]
16131,11129,1171,false,[]
16132,11129,1177,false,[]
16133,11129,1178,false,[]
16134,11129,2073,false,[]
16135,11129,1169,false,[]
16136,11129,1172,false,[]
16137,11130,1170,true,[ec2:AuthorizeSecurityGroupIngress]
16138,11130,2073,false,[]
16139,11131,1173,false,"[ec2:CreateNetworkInterface, ec2:DeleteNetworkInterface, ec2:DescribeNetworkInterfaces, ec2:DescribeSubnets, ec2:DescribeVpcs, s3:GetObject]"
16140,11131,2073,false,[]
16141,11131,1172,false,[]
16142,11132,1173,false,[]
16143,11132,2073,false,[]
16144,11132,1172,false,[]
16145,11133,1173,false,[]
