resource_type_id,service_id,name,reference_url,arn_pattern
915,244,Resource,https://docs.aws.amazon.com/apigateway/latest/api/API_Resource.html,arn:${Partition}:apigateway:${Region}::/restapis/${RestApiId}/resources/${ResourceId}
916,244,Resources,https://docs.aws.amazon.com/apigateway/latest/api/API_Resource.html,arn:${Partition}:apigateway:${Region}::/restapis/${RestApiId}/resources
917,244,RestApi,https://docs.aws.amazon.com/apigateway/latest/api/API_RestApi.html,arn:${Partition}:apigateway:${Region}::/restapis/${RestApiId}
918,244,RestApis,https://docs.aws.amazon.com/apigateway/latest/api/API_RestApi.html,arn:${Partition}:apigateway:${Region}::/restapis
919,244,Sdk,https://docs.aws.amazon.com/apigateway/latest/developerguide/security_iam_service-with-iam.html,arn:${Partition}:apigateway:${Region}::/restapis/${RestApiId}/stages/${StageName}/sdks/${SdkType}
920,244,Stage,https://docs.aws.amazon.com/apigateway/latest/api/API_Stage.html,arn:${Partition}:apigateway:${Region}::/restapis/${RestApiId}/stages/${StageName}
921,244,Stages,https://docs.aws.amazon.com/apigateway/latest/api/API_Stage.html,arn:${Partition}:apigateway:${Region}::/restapis/${RestApiId}/stages
922,244,Template,https://docs.aws.amazon.com/apigateway/latest/developerguide/security_iam_service-with-iam.html,arn:${Partition}:apigateway:${Region}::/restapis/models/${ModelName}/template
923,244,UsagePlan,https://docs.aws.amazon.com/apigateway/latest/api/API_UsagePlan.html,arn:${Partition}:apigateway:${Region}::/usageplans/${UsagePlanId}
924,244,UsagePlans,https://docs.aws.amazon.com/apigateway/latest/api/API_UsagePlan.html,arn:${Partition}:apigateway:${Region}::/usageplans
925,244,UsagePlanKey,https://docs.aws.amazon.com/apigateway/latest/api/API_UsagePlanKey.html,arn:${Partition}:apigateway:${Region}::/usageplans/${UsagePlanId}/keys/${Id}
926,244,UsagePlanKeys,https://docs.aws.amazon.com/apigateway/latest/api/API_UsagePlanKey.html,arn:${Partition}:apigateway:${Region}::/usageplans/${UsagePlanId}/keys
927,244,VpcLink,https://docs.aws.amazon.com/apigateway/latest/api/API_VpcLink.html,arn:${Partition}:apigateway:${Region}::/vpclinks/${VpcLinkId}
928,244,VpcLinks,https://docs.aws.amazon.com/apigateway/latest/api/API_VpcLink.html,arn:${Partition}:apigateway:${Region}::/vpclinks
929,244,Tags,https://docs.aws.amazon.com/apigateway/latest/developerguide/apigateway-tagging.html,arn:${Partition}:apigateway:${Region}::/tags/${UrlEncodedResourceARN}
930,245,AccessLogSettings,https://docs.aws.amazon.com/apigateway/latest/developerguide/security_iam_service-with-iam.html,arn:${Partition}:apigateway:${Region}::/apis/${ApiId}/stages/${StageName}/accesslogsettings
931,245,Api,https://docs.aws.amazon.com/apigateway/latest/developerguide/security_iam_service-with-iam.html,arn:${Partition}:apigateway:${Region}::/apis/${ApiId}
932,245,Apis,https://docs.aws.amazon.com/apigateway/latest/developerguide/security_iam_service-with-iam.html,arn:${Partition}:apigateway:${Region}::/apis
933,245,ApiMapping,https://docs.aws.amazon.com/apigateway/latest/developerguide/security_iam_service-with-iam.html,arn:${Partition}:apigateway:${Region}::/domainnames/${DomainName}/apimappings/${ApiMappingId}
934,245,ApiMappings,https://docs.aws.amazon.com/apigateway/latest/developerguide/security_iam_service-with-iam.html,arn:${Partition}:apigateway:${Region}::/domainnames/${DomainName}/apimappings
935,245,Authorizer,https://docs.aws.amazon.com/apigateway/latest/developerguide/security_iam_service-with-iam.html,arn:${Partition}:apigateway:${Region}::/apis/${ApiId}/authorizers/${AuthorizerId}
936,245,Authorizers,https://docs.aws.amazon.com/apigateway/latest/developerguide/security_iam_service-with-iam.html,arn:${Partition}:apigateway:${Region}::/apis/${ApiId}/authorizers
937,245,AuthorizersCache,https://docs.aws.amazon.com/apigateway/latest/developerguide/security_iam_service-with-iam.html,arn:${Partition}:apigateway:${Region}::/apis/${ApiId}/stages/${StageName}/cache/authorizers
938,245,Cors,https://docs.aws.amazon.com/apigateway/latest/developerguide/security_iam_service-with-iam.html,arn:${Partition}:apigateway:${Region}::/apis/${ApiId}/cors
939,245,Deployment,https://docs.aws.amazon.com/apigateway/latest/developerguide/security_iam_service-with-iam.html,arn:${Partition}:apigateway:${Region}::/apis/${ApiId}/deployments/${DeploymentId}
940,245,Deployments,https://docs.aws.amazon.com/apigateway/latest/developerguide/security_iam_service-with-iam.html,arn:${Partition}:apigateway:${Region}::/apis/${ApiId}/deployments
941,245,ExportedAPI,https://docs.aws.amazon.com/apigateway/latest/developerguide/security_iam_service-with-iam.html,arn:${Partition}:apigateway:${Region}::/apis/${ApiId}/exports/${Specification}
942,245,Integration,https://docs.aws.amazon.com/apigateway/latest/developerguide/security_iam_service-with-iam.html,arn:${Partition}:apigateway:${Region}::/apis/${ApiId}/integrations/${IntegrationId}
943,245,Integrations,https://docs.aws.amazon.com/apigateway/latest/developerguide/security_iam_service-with-iam.html,arn:${Partition}:apigateway:${Region}::/apis/${ApiId}/integrations
944,245,IntegrationResponse,https://docs.aws.amazon.com/apigateway/latest/developerguide/security_iam_service-with-iam.html,arn:${Partition}:apigateway:${Region}::/apis/${ApiId}/integrations/${IntegrationId}/integrationresponses/${IntegrationResponseId}
945,245,IntegrationResponses,https://docs.aws.amazon.com/apigateway/latest/developerguide/security_iam_service-with-iam.html,arn:${Partition}:apigateway:${Region}::/apis/${ApiId}/integrations/${IntegrationId}/integrationresponses
946,245,Model,https://docs.aws.amazon.com/apigateway/latest/developerguide/security_iam_service-with-iam.html,arn:${Partition}:apigateway:${Region}::/apis/${ApiId}/models/${ModelId}
947,245,Models,https://docs.aws.amazon.com/apigateway/latest/developerguide/security_iam_service-with-iam.html,arn:${Partition}:apigateway:${Region}::/apis/${ApiId}/models
948,245,ModelTemplate,https://docs.aws.amazon.com/apigateway/latest/developerguide/security_iam_service-with-iam.html,arn:${Partition}:apigateway:${Region}::/apis/${ApiId}/models/${ModelId}/template
949,245,Route,https://docs.aws.amazon.com/apigateway/latest/developerguide/security_iam_service-with-iam.html,arn:${Partition}:apigateway:${Region}::/apis/${ApiId}/routes/${RouteId}
950,245,Routes,https://docs.aws.amazon.com/apigateway/latest/developerguide/security_iam_service-with-iam.html,arn:${Partition}:apigateway:${Region}::/apis/${ApiId}/routes
951,245,RouteResponse,https://docs.aws.amazon.com/apigateway/latest/developerguide/security_iam_service-with-iam.html,arn:${Partition}:apigateway:${Region}::/apis/${ApiId}/routes/${RouteId}/routeresponses/${RouteResponseId}
952,245,RouteResponses,https://docs.aws.amazon.com/apigateway/latest/developerguide/security_iam_service-with-iam.html,arn:${Partition}:apigateway:${Region}::/apis/${ApiId}/routes/${RouteId}/routeresponses
953,245,RouteRequestParameter,https://docs.aws.amazon.com/apigateway/latest/developerguide/security_iam_service-with-iam.html,arn:${Partition}:apigateway:${Region}::/apis/${ApiId}/routes/${RouteId}/requestparameters/${RequestParameterKey}
954,245,RouteSettings,https://docs.aws.amazon.com/apigateway/latest/developerguide/security_iam_service-with-iam.html,arn:${Partition}:apigateway:${Region}::/apis/${ApiId}/stages/${StageName}/routesettings/${RouteKey}
955,245,Stage,https://docs.aws.amazon.com/apigateway/latest/developerguide/security_iam_service-with-iam.html,arn:${Partition}:apigateway:${Region}::/apis/${ApiId}/stages/${StageName}
956,245,Stages,https://docs.aws.amazon.com/apigateway/latest/developerguide/security_iam_service-with-iam.html,arn:${Partition}:apigateway:${Region}::/apis/${ApiId}/stages
957,245,VpcLink,https://docs.aws.amazon.com/apigateway/latest/developerguide/security_iam_service-with-iam.html,arn:${Partition}:apigateway:${Region}::/vpclinks/${VpcLinkId}
958,245,VpcLinks,https://docs.aws.amazon.com/apigateway/latest/developerguide/security_iam_service-with-iam.html,arn:${Partition}:apigateway:${Region}::/vpclinks
959,246,connectorprofile,https://docs.aws.amazon.com/appflow/1.0/APIReference/API_ConnectorProfile.html,arn:${Partition}:appflow:${Region}:${Account}:connectorprofile/${ProfileName}
960,246,flow,https://docs.aws.amazon.com/appflow/1.0/APIReference/API_FlowDefinition.html,arn:${Partition}:appflow:${Region}:${Account}:flow/${FlowName}
961,246,connector,https://docs.aws.amazon.com/appflow/1.0/APIReference/API_ConnectorDetail.html,arn:${Partition}:appflow:${Region}:${Account}:connector/${ConnectorLabel}
962,247,event-integration,https://docs.aws.amazon.com/appintegrations/latest/APIReference/API_EventIntegration.html,arn:${Partition}:app-integrations:${Region}:${Account}:event-integration/${EventIntegrationName}
963,247,event-integration-association,https://docs.aws.amazon.com/appintegrations/latest/APIReference/API_EventIntegrationAssociation.html,arn:${Partition}:app-integrations:${Region}:${Account}:event-integration-association/${EventIntegrationName}/${ResourceId}
964,247,data-integration,https://docs.aws.amazon.com/appintegrations/latest/APIReference/API_DataIntegrationSummary.html,arn:${Partition}:app-integrations:${Region}:${Account}:data-integration/${DataIntegrationId}
965,247,data-integration-association,https://docs.aws.amazon.com/appintegrations/latest/APIReference/API_DataIntegrationAssociationSummary.html,arn:${Partition}:app-integrations:${Region}:${Account}:data-integration-association/${DataIntegrationId}/${ResourceId}
966,247,application,https://docs.aws.amazon.com/appintegrations/latest/APIReference/API_ApplicationSummary.html,arn:${Partition}:app-integrations:${Region}:${Account}:application/${ApplicationId}
967,247,application-association,https://docs.aws.amazon.com/appintegrations/latest/APIReference/API_ApplicationAssociationSummary.html,arn:${Partition}:app-integrations:${Region}:${Account}:application-association/${ApplicationId}/${ApplicationAssociationId}
968,248,fleet,https://docs.aws.amazon.com/appstream2/latest/developerguide/what-is-appstream.html#what-is-concepts,arn:${Partition}:appstream:${Region}:${Account}:fleet/${FleetName}
969,248,image,https://docs.aws.amazon.com/appstream2/latest/developerguide/what-is-appstream.html#what-is-concepts,arn:${Partition}:appstream:${Region}:${Account}:image/${ImageName}
970,248,image-builder,https://docs.aws.amazon.com/appstream2/latest/developerguide/what-is-appstream.html#what-is-concepts,arn:${Partition}:appstream:${Region}:${Account}:image-builder/${ImageBuilderName}
971,248,stack,https://docs.aws.amazon.com/appstream2/latest/developerguide/what-is-appstream.html#what-is-concepts,arn:${Partition}:appstream:${Region}:${Account}:stack/${StackName}
972,248,app-block,https://docs.aws.amazon.com/appstream2/latest/developerguide/what-is-appstream.html#what-is-concepts,arn:${Partition}:appstream:${Region}:${Account}:app-block/${AppBlockName}
973,248,application,https://docs.aws.amazon.com/appstream2/latest/developerguide/what-is-appstream.html#what-is-concepts,arn:${Partition}:appstream:${Region}:${Account}:application/${ApplicationName}
974,248,app-block-builder,https://docs.aws.amazon.com/appstream2/latest/developerguide/what-is-appstream.html#what-is-concepts,arn:${Partition}:appstream:${Region}:${Account}:app-block-builder/${AppBlockBuilderName}
975,249,ALB,https://docs.aws.amazon.com/r53recovery/latest/dg/arc-zonal-shift.resource-types.html,arn:${Partition}:elasticloadbalancing:${Region}:${Account}:loadbalancer/app/${LoadBalancerName}/${LoadBalancerId}
976,249,NLB,https://docs.aws.amazon.com/r53recovery/latest/dg/arc-zonal-shift.resource-types.html,arn:${Partition}:elasticloadbalancing:${Region}:${Account}:loadbalancer/net/${LoadBalancerName}/${LoadBalancerId}
977,250,datacatalog,https://docs.aws.amazon.com/athena/latest/ug/datacatalogs-example-policies.html,arn:${Partition}:athena:${Region}:${Account}:datacatalog/${DataCatalogName}
978,250,workgroup,https://docs.aws.amazon.com/athena/latest/ug/example-policies-workgroup.html,arn:${Partition}:athena:${Region}:${Account}:workgroup/${WorkGroupName}
979,250,capacity-reservation,https://docs.aws.amazon.com/athena/latest/ug/example-policies-capacity-reservations.html,arn:${Partition}:athena:${Region}:${Account}:capacity-reservation/${CapacityReservationName}
980,251,Cluster,https://docs.aws.amazon.com/aurora-dsql/latest/userguide/what-is-core-components.html#Cluster,arn:${Partition}:dsql:${Region}:${Account}:cluster/${Identifier}
